n° Tâche SLAM-B (sélectionner dans le menu déroulant),Prénom Nom,Partenaire,Nom du modèle / code / algorithme / logiciel,"Description brève , objectifs principaux","Domaine principal (sélectionner dans le menu déroulant, sauf si autre catégorie plus adéquate)",Domaine corrigé,Caractéristiques techniques,Domaine de validité,Principales limites,Acces et Diffusion (actuellement),Maturité (sélectionner dans le menu déroulant),Commentaires diverses,Nature,Catégorie
T2.1,Agathe Souiry,"UMR FARE, INRAE",MAELIA,"MAELIA est une plateforme, multi-agent, de modélisation et évaluation intégrées des territoires agricoles et systèmes de bioéconomie territoriale. Elle a pour objectif d’évaluer les impacts environnementaux, économiques et sociaux des changements combinés d’activités agricoles, de transformation et recyclage des biomasses, de modes gestion des ressources naturelles et globaux. (Documentation MAELIA, 2024)",2.agriculture+F3F3:F25,2.agriculture,"gama, version 1.4.20 et bientôt 1.4.30","Système de grande culture, bioéconomie territoriale",,sur demande je crois ? ,TRL-7: V1 outil ouvert et disponible à tout utilisateur extérieur,"juste mobilisé, pas développé",Réutilisées,MAELIA use
T2.1,Agathe Souiry,"UMR FARE, INRAE",Optislam,"modéliser et d’optimiser l’organisation spatiale d’une filière de bioéconomie intégrée à un territoire, contribuant ainsi à l’économie circulaire et à la transition écologique. ",4.socio-économie,4.socio-économie,python et julia,"Reims, filière combustion et méthanisation",adapté au territoire de Reims,je ne sais pas,TRL-4: V0 outil testé par équipe dev en interne,développé par gt1.6 et testé sur le scénario lab du Grand Reims,Réutilisées,OPTISLAM use
T2.1,Agathe Souiry,"UMR FARE, INRAE",biomatériaux (pas de nom pour l'instant),modèle de simulation des filières biomatériaux,3.bioéconomie,3.bioéconomie, gama ?,biomatériaux et ACV,filières paille echanvre pour l'instant,je ne sais pas,TRL-1: idées / concepts formulés sans implémentation,on espère pouvoir l'utiliser sur Reims ,Réutilisées,Biomatériau dev
T3.7,Hélène Raynal,"UMR AGIR, INRAE",Version V2 du modèle STICSTkR spatialisé et incluant les digestats,"Chaîne de modélisation permettant de raisonner la fertilisation azotée d'une culture au sein d'une rotation + paramètres de la règle de décision pour la fertilisation d'un système de culture + spatialisation de la chaîne pour couvrir France et Europe + jeux de données résultats 
",2.agriculture,2.agriculture,"Code informatique de la version V2 de STICSTkR spatialisée :  
R + 
version native de STICS ",Système de grande culture,"Pas de prise en compte des aspects socio-économiques.
Nombre d'espèces simulables par STICS limité. ",Sur demande,TRL-4: V0 outil testé par équipe dev en interne,,Réutilisées,STICS dev
T3.8,Ugo Javourez,"UMR LAE, INRAE",Crop rotation pattern-matching algorithm,"Identifier et classer les rotations au sein de séquences de cultures. Sert à l'élaboration de typologie des systèmes de culture, la caractérisation des rotations dominantes à travers les échelles d'un territoire, à la quantification et spatialisation des rotations pour la modélisation intégrée des agroécosystèmes.
",2.agriculture,2.agriculture,Python,Système de grande culture,Itération sur le grain de représentation des espèces ainsi que du paramétrage de l'algorithme pour interprétation des résultats,"Lien: https://forge.inrae.fr/ugo.javourez/crop-rotations-pattern-matching-algorithm, licence CC BY 4.0; Description dans article scientifique: https://doi.org/10.1016/j.compag.2026.111444",TRL-7: V1 outil ouvert et disponible à tout utilisateur extérieur,,Produites,Crop rotations dev
T3.4,Cyprien Drommi,LIED & UMR SAS,Modèle ALPHA,"Modèle de budget d'azote à échelle territoriale (macro). Quantifie la production de nourriture et les pertes d'azote d'un territoire, en fonction des intrants et des taux de recyclage des flux d'azote. Jeux de données calibré sur les moyennes des terres arables, prairies et cheptel. La dernière version du modèle quantifie l'énergie consommée par le système et produite par méthanisation.",2.agriculture,2.agriculture,Python,"Système agricole, de l'échelle régionale à globale","Fonctions de production linéaires basée sur les NUE/NCE.

Résultats dépendants de la calibration historique sur un territoire donné.","Sur demande, projet d'open access en cours de réalisation.",TRL-6: V1 outil testé par utilisateur externe sur un cas contrôlé,,Produites,modèle ALPHA dev
T1.3 ,Eléonore Loiseau,"UMR ITAP, UMR SAS, UR Recyclage & risque",Module ACV,Coupler les sorties de MAELIA à des bases de données ACV pour réaliser l'ACV de scénarios MAELIA,1.environnement,1.environnement,Python (+ Brightway) & utilisation de bases de données ACV (ecoinvent) & de la méthode d'impact du cycle de vie (EICV) Environmental Footprint (EF 3.1),Cultures végétales,Code à adapter pour chaque étude de cas,sur demande,TRL-2: conception prototype logiciel simplifié ou pseudo-code,,Produites,ACV dev
GT1,Hadrien Delattre,"UMR LAE, INRAE",Biochains,"Modèle de simulation des filières biomasse à l'échelle d'un territoire, couplable à MAELIA et utilisable en standalone",5.modélisation,3.bioéconomie,"Code GAML inclu dans MAELIA mais versionné à part (WIP), projets en R et en python pour la génération de données d'entrée",Système bioéconomique à l'échelle du territoire,Pas de prise en compte de phénomènes en dessous de l'échelle du jour,Sur demande,TRL-4: V0 outil testé par équipe dev en interne,(utilisation prochaine : T2.1 Agathe Souiry),Produites,Biochains dev
T1.1,Lucas Grosjean,"INRAE, UMR LAE",Modèle de Distribution : MAELIA,Modèle permettant l'exécution parallèle du modèle MAELIA sur une architecture multi-coeurs. L'objectif est la réduction drastique du temps nécéssaire aux simulation de MAELIA.,5.modélisation,2.agriculture,GAMA + Message Passing Interface,MAELIA,Connaissance de MAELIA et de quelques scripts de lancement,https://forge.inrae.fr/maelia/maelia_distribution,"TRL-8: version stable de l'outil disponible publiquement (sous licence, éventuellement ouverte)",,Réutilisées,MAELIA dev
T1.1,Lucas Grosjean,"INRAE, UMR LAE",Docker HPC MAELIA,Docker permettant de lancer le Modèle de Distribution : MAELIA de manière native sur toute architecture,5.modélisation,2.agriculture,Docker Desktop                                 Git,Module Agricole MAELIA              (sans irrigation),Connaissance de MAELIA et de quelques scripts de lancement,https://forge.inrae.fr/maelia/maelia_distribution/docker_maelia_hpc,"TRL-8: version stable de l'outil disponible publiquement (sous licence, éventuellement ouverte)",,Réutilisées,MAELIA dev
T1.1,Lucas Grosjean,"INRAE, UMR LAE",Script de comparaison de résultats de simulation MAELIA,Script python permettant de comparer de manière exhaustive les résultats de 2 simulations MAELIA. L'objectif est de détecter des différeneces dans les résultats. ,5.modélisation,2.agriculture,Python 3.0,Résultats de simu MAELIA,Breves connaissance du script,https://forge.inrae.fr/maelia/maelia_distribution/comparaison_result_hpc_vs_central,"TRL-8: version stable de l'outil disponible publiquement (sous licence, éventuellement ouverte)",,Produites,MAELIA dev
T2.3,Thomas Houet,CNRS LETG,FORESCEM,"FORecasting landescapE SCEnarios Model : Logiciel de simulation des changements d'occupation et d'usage du sol sur la base de scénarios prédéfinis(au-delà d’une évolution tendancielle en intégrant des éléments correspondant à des scénarios narratifs (pouvant être issus d’ateliers avec des experts et partis prenantes). Le principe est basé sur l’identification d’équations de régression linéaires à partir de 2 cartes d’occupation passées et de facteurs explicatifs qui permettent d’expliquer les évolutions passées. Il simule ensuite des évolutions futures à partir de ces équations mais intègre aussi des facteurs de changement de rupture, correspondant à des événements ponctuels ou des politiques, en suivant des cartes de probabilités qui favorisent des implantations dans certaines zones. (Article de référence : https://hal.science/hal-05121081v1/file/draft_2025_06_19_FORESCEM_final.pdf))",5.modélisation,2.agriculture,Modèle interfacé ,Territoire,"Requiert des connaissances quant aux sources de données géographiques
Tutoriels en cours de réalisation
Généricité : il peut être utilisé sur une multitude de cas, avec différentes classes d'occupation du sol, donc peut paraitre large / manque de cadrage","https://gitlab.in2p3.fr/letg/forescem/forescem

Description dans article: https://doi.org/10.3390/land15050706  ",TRL-7: V1 outil ouvert et disponible à tout utilisateur extérieur,Maturité entre TRL7/TRL8 (utilisation : T2.1 Agathe Souiry),Produites,FORESCEM dev
T2.4,Simon Charrière,"UMR EMMAH, INRAE","paramètres culturaux adapté à MAELIA, à partir d’image de télédétection. Nom à retravailler.","objectif : paramétrer les espèces cultivées d’un territoire au format MAELIA. 
Calcul du Kc jouralier de chaque parcelle, détermination des stades phénologiques utilisés par MAELIA et déduction des 4 coefficients du fichier espèce cultivée (Cvig et somme de température des stades phénologiques clefs). Puis regroupement des parcelles ayant une culture semblable, et comparaison des paramètres culturaux par rapport à la consommation d’eau de chaque parcelle. Enfin, en sortie, on obtient une catégorisation des parcelles dont les cultures peuvent être regroupées au sein d’une même catégorie, du point de vue de leur usage de l’eau ",2.agriculture,2.agriculture,langage : R ,"parcelle agricole, à l’échelle du territoire. Fonctionne pour les cultures annuelles, mais le but est de l’adapter aux cultures pérennes. 
","détermination stades phéno : précision à quantifier.  
besoins en eau de chaque parcelle : à valider
Fondé sur sentinel-2 (2016-now) : calibration sur des parcelles non-contrôlées. Des extrêmes de gestions non observés peuvent exister en dehors du domaine de validité du modèles","pour l’instant, équipe DREAM. 
Quand mieux testé, sera diffusé",TRL-3: scripts et fonctions de base développées,,Produites,MAELIA dev
T2.6,Garnier Suzon,"UR ASTRO, INRAE ",GBGWA,"Estimer les flux de biomasse du territoire en croisant les quantités produites par les ménages, leurs pratiques de gestion et différents scénarios de politique publique.",3.bioéconomie,3.bioéconomie,"R, modèle matriciel ",Flux de biomasse ,"Le modèle ne prend pas en compte les processus biogéochimiques liés au compostage. Le pas de temps et le niveau de spatialisation restent à définir. Il s’agit d’un modèle simple, qui pourrait être transféré vers Biochain si cela s’avère possible et pertinent.",Sur demande,TRL-3: scripts et fonctions de base développées,,Produites,GBGWA
T1.4 ,Wasim Ahmed,INRAE,Optimisation multi-objectifs de la filière méthanisation,"Algorithme permettant l'optimisation du recettage des intrants de méthanisation et de ses conditions opératoires selon les objectifs définis (production de biogaz, qualité du digestat, emissions, …). Il prend en compre l'ensemble de la filière méthanisation (du stockage des intrants et leur disponnibilité au stockage des digestats pour leur utilisation agronomique ultérieure)",5.modélisation,3.bioéconomie,Code MATLAB,Méthanisation,Temps de calcul. Un objectif est suffisant dans un premier temps pour son utilisation dans le cadre de Slam-B.,Sur demande,TRL-4: V0 outil testé par équipe dev en interne,/Julie JIMENEZ,Produites,Modèle Méthanisation dev
T1.4 ,Wasim Ahmed,INRAE,Modèle de compostage simplifié,"Fichier excel en deux parties contenant une partie d'optimisation de la recette de résidus à composter selon les contraintes biologiques du procédé et une partie bilan matière. Une base de données de différents intrants et leurs paramètres est en cours de réalisation,",5.modélisation,3.bioéconomie,Fichier Excel,Compostage,"Statique, très sensible aux paramètres décrivant les intrants. La prédiction du N2O en cours de développement",Sur demande,TRL-3: scripts et fonctions de base développées,/Julie JIMENEZ,Produites,Modèle Compostage dev
T1.4 ,Julie JIMENEZ,INRAE,Prédiction de la typologie des digestats en fonction de leur qualité physico-chimique et jeu de paramètres STICS résidus associés,"Il s'agit d'un algorithme Python permettant de prédire la typologie des digestats à partir de la caractérisation physico-chimique des digestats prédite par le modèle de méthanisation et  d'un calcul de distance euclidienne basé sur une base de données publiée. Pour chaque typologie, des propriétés sont proposées, notamment des paramètres issus de STICS résidus (travail en cours de finalisation)",5.modélisation,3.bioéconomie,Code Python,Digestats issus de méthanisation,"Digestats d'origine agricole. Les digestats d'origine urbaine ont été rajoutés mais ne sont pas inclus dans la prédiction de la typologie via leur caractérisation,",en cours de finalisation,TRL-2: conception prototype logiciel simplifié ou pseudo-code,,Produites,Modèle Méthanisation dev
T1.5 ,Valentin Pret,"UMR SELMET, Cirad",Modèle générique et conceptuel des systèmes d'élevage,"Modèle conceptuel de systèmes d’élevage, à différent niveaux de granularité des processus, destiné à être mobilisé pour développer des modèles de territoire spatialisés.",2.agriculture,2.agriculture,Description de l'architecture du modèle et des différents processus biophysiques et décisionnels,Système d'élevage,,En cours de développement,TRL-1: idées / concepts formulés sans implémentation,,Produites,Modèle Elevage dev
T3.3,Hugo SENGES,"UMR AGIR, INRAE","Chaîne de modélisation STICS, échelle europe","Ensemble des scripts, documentation, fichier de paramètres, permettant d&apos;effectuer des simulations STICS (pédo, climat, cultures, pratiques) en surfaces de grandes cultures, pour l&apos;ensemble de l&apos;Europe, de 2000 à 2050, en environnement distant et prallélisé",5.modélisation,2.agriculture,Code informatique de la version V2 de STICSTkR spatialisée : R + version native STICS,Cultures végétales,Code à adapter pour chaque étude de cas,En cours de développement,TRL-4: V0 outil testé par équipe dev en interne,,Réutilisées,STICS dev
GT1,Elsa Gedor,"UMR LAE, INRAE",simaelia,"Chaîne de fonctions permettant d&apos;intéragir avce les bases de données postgreSQL du système d&apos;information de MAELIA (sol, climat, parcellaire, hydrologie...) et formater les données d&apos;entrées France entière pour MAELIA et ses modèles (comprenant STICS, AqYield, HerbSim, Biochains). Comprend un ensemble de fonctions génériques permettant d&apos;intéragir avec une base de données postgreSQL et différents formats de fichiers, à terme vouées à être extraites dans un autre package.",2.agriculture,2.agriculture,Package R,Grandes cultures échelle France,Base de données postgreSQL nécessaire,"Sur demande, diffusions régulières auprès du collectif MAELIA","TRL-8: version stable de l&apos;outil disponible publiquement (sous licence, éventuellement ouverte)",,Produites,MAELIA dev
T3.6,Antonello Lobianco,"UMR BETA, INRAE APT",Generalized Forest Sector Model (GenFSM),Simulation à long terme et à grande échelle des socio-écosystèmes forestiers,5.modélisation,4.socio-économie,Modèle de simulation + optimisation en C++ (v2) à convertir en Julia (v3),Echele national,Marché : fonctions de transformation rigide (Y1 nécessite les facteurs de production X1 et X2) ; aucune importation de produits primaires ni exportation de produits transformés. Gestion : aucun lien entre les caractéristiques du gestionnaire et son comportement.,GNU GPL (Open source) — aussi bien la v2 (établie) que la v3 (le remplacement en cours de développement) : https://ffsm.beta-lorraine.fr/wiki/en/home; https://github.com/forestmod/GenFSM.jl ,TRL-2: conception prototype logiciel simplifié ou pseudo-code,,Produites,GenFSM dev
T2.5,Anthony BENOIST,CIRAD,ACV-T La Réunion,Diagnostic initial des enjeux environnementaux du territoire de La Réunion (situation de référence),1.environnement,1.environnement,Modélisation sous logiciel ACV SimaPro,"La Réunion, 2023","Pas un outil, mais un modèle spécifique à un cas d'étude",Restreint,TRL-6: V1 outil testé par utilisateur externe sur un cas contrôlé,,Réutilisées,ACV dev
T2.5,Anthony BENOIST,CIRAD,Scénarios ACV La Réunion,Conséquences environnementales de différents changements d'usages des sols ou d'utilisation des biomasses,1.environnement,1.environnement,Modélisation sous logiciel ACV SimaPro,La Réunion,"Pas un outil, mais un modèle spécifique à un cas d'étude",Restreint,TRL-3: scripts et fonctions de base développées,,Réutilisées,ACV dev
T2.4,Simon Charrière,"UMR EMMAH, INRAE",Cycle de vie spécifique aux verger et vigne,modifications de aqyield pour prendre en compte les paramètres spécifiques aux vergers et vignes,2.agriculture,2.agriculture,gaml,"parcelle
",a voir,a voir,TRL-1: idées / concepts formulés sans implémentation,,Produites,ACV dev
T1.9 ,Damien Arbault,TBI INRAE,Brightway 2.5,"script pour calculer les impacts env à partir du système modélisé
scripts pour lancer les calculs d'analyse de sensibilité",3.bioéconomie,3.bioéconomie,"python
https://github.com/brightway-lca/brightway25","limité au domaine de validité de l'ACV (linéarité, ""petits"" systèmes, flux élémentaires répertoriés, catégories d'impact modélisés",aujourd'hui principalement statique ; linéarité ; ,open source mais il faut utiliser des bases de données pas toujours gratuites (en particulier ecoinvent),TRL-9: version stable disponible et utilisée à grande échelle avec MaJ continues,Lorie Hamelin,Produites,Brightway2.5 use
T1.4 ,Anne Trémier,"UR OPAALE, INRAE",Simple_compost_model,"Modèle de compostage entrée sortie : A partir de la description des intrants et des paramètres du procédé, obtenir la qualité des composts et les émissions cumulées",3.bioéconomie,3.bioéconomie,Excel,"Pas de modélisation cinétique;
Bilan azotée à consolider",Pas de modèle d'émission N2O actuellement (en cours de travail),Uniquement au sein de la tâche 1.4.b actuellement,TRL-4: V0 outil testé par équipe dev en interne,,Produites,Modèle Compostage dev
T1.3 ,Gabin Guillemaud,"UMR ITAP, INRAE",Code consistent AESA,"Utilisation du modèle pyMRIO pour calculer les impacts CO2eq des secteurs économiques, avec 3 approches de répartition + allocation du SOS avec 6 principes de partage + plot",4.socio-économie,4.socio-économie,Package python pymrio permettant d'utiliser exiobase sur python 3.14.2,Marche qu'avec Exiobase,Langage python et concepts limites planétaires / AESA,sur demande (dépôt github et forge INRAE prochainement),TRL-4: V0 outil testé par équipe dev en interne,,Réutilisées,PyMRIO use
T1.8,Clémence Ravier, INRAE UMR LAE,HerbSim,Modélisation de retour de C & N au sous les couverts de prairies,5.modélisation,2.agriculture,Code en GAMA,Système de culture avec des prairies (temporaires ou permanentes),Nécessite des paramètres,pseudo code en cours,TRL-7: V1 outil ouvert et disponible à tout utilisateur extérieur,,Produites,MAELIA dev
T1.8,Clémence Ravier, INRAE UMR LAE,Analyse sensibilité HerbSim,Analyse de sensibilité du modèle à des valeurs de paramètrage,2.agriculture,2.agriculture,Script R,Système agricole,,,TRL-3: scripts et fonctions de base développées,,Produites,MAELIA dev
T1.8,Clémence Ravier, INRAE UMR LAE,Comparaison HerbSim,"Comparaison des données observées aux simulations STICS et HerbSim (rendement, biomasse, LAI, ",2.agriculture,2.agriculture,Script R,Système agricole,,,TRL-3: scripts et fonctions de base développées,,Produites,MAELIA dev
