Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Billen G.,2025,Comment vit l'autre moitié du monde ? : plaidoyer pour un monde sans engrais azotés de synthèse,True,A référencer
HAL,Magerl A.,2025,Forest carbon sink in the U.S. (1870-2012) driven by substitution of forest ecosystem service flows,True,A référencer
HAL,Einarsson R.,2025,The relative productivity of organic agriculture must be considered in the full food-system context : a comment on Connor (2022),True,A référencer
HAL,Wang Qi,2025,"Soil carbon sequestration, climate change mitigation, nitrogen pollution and agro-food supply: navigating trade-offs in future cropland management strategies",True,A référencer
HAL,Gingrich Simone,2025,"Forest Transitions in the United States, France and Austria: dynamics of forest change and their socio- metabolic drivers",True,A référencer
HAL,Billen Gilles,2025,Beyond the Farm to Fork Strategy: Methodology for designing a European agro-ecological future,True,A référencer
HAL,Daheur Jawad,2025,Socio-ecological metabolism and rural livelihood conditions: Two case studies on forest litter uses in France and Poland (1875–1910),True,A référencer
HAL,Augusto Laurent,2024,Evaluation du puits de carbone dans les sols forestiers français,True,A référencer
HAL,Clivot Hugues,2024,Modélisation de l'évolution des stocks de carbone organique dans les sols : travaux et perspectives de recherche autour du modèle AMG,True,A référencer
HAL,Lauk Christian,2024,"Analyzing long-term dynamics of agricultural greenhouse gas emissions in Austria, 1830–2018",True,A référencer
ORCID,Qi Wang,2024.0,"Multi-decadal and regional validation of the AMG model at county and grid scales unravels the role of crop residue inputs in increasing soil organic carbon stocks in the Tuojiang River Basin, China",A déposer sur HAL,False
ORCID,Simone Gingrich,2024.0,Livestock increasingly drove global agricultural emissions growth from 1910–2015,A déposer sur HAL,False
ORCID,Julia Le Noë,2024.0,Les solutions fondées sur la nature : un levier important pour atténuer le changement climatique à condition d’aller de pair avec une réduction drastique des émissions de gaz à effet de serre. ,A déposer sur HAL,False
