Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Financement dans FairCarboN
HAL,Wang Qi,2025,"Soil carbon sequestration, climate change mitigation, nitrogen pollution and agro-food supply: navigating trade-offs in future cropland management strategies",True,False
HAL,Lebrun Thauront Johanne,2025,"Subsoils, but not toeslopes, store millennia-old PyC in a gently sloping catchment under temperate climate after centuries of fire suppression",True,False
HAL,Chenu Claire,2025,"Methods for studying soil organic matter: nature, dynamics, spatial accessibility, and interactions with minerals",True,False
HAL,Gartzia-Bengoetxea Nahia,2025,Mineral control of organic carbon storage in acid temperate forest soils in the Basque Country,True,False
HAL,Ayrault Sophie,2025,Prospective Surfaces et Interfaces Continentales : 2024-2028,True,False
HAL,Khedim Norine,2025,Topsoil organic matter build‐up in glacier forelands around the world,True,False
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024,Le carbone organique additionnel stocké grâce à des pratiques agroécologiques est-il stable à l'échelle de la décennie ?,True,False
HAL,Barré Pierre,2024,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,False
HAL,Barré Pierre,2024,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,False
HAL,Chen Haotian,2024,"Changements, interactions et déterminants des propriétés chimiques, physiques et biologiques du sol après l'application répétée de PRO à QualiAgro et PROspective",True,False
HAL,Chenu Claire,2024,"Storing additional carbon in soil: different practices, different stabilities of the organic matter?",True,False
HAL,Lebrun Thauront Johanne,2024,Prediction of soil pyrogenic carbon contents from Rock-Eval® thermal analysis: a machine-learning based model,True,False
HAL,van Oort Folkert,2024,Evolutions pédologiques centenaires et bilans géochimiques contemporains : intérêt de l’essai de longue durée en sol nu des 42 parcelles.,True,False
HAL,Chenu Claire,2024,Les jachères nues de longue durée: une plateforme pour analyser la dynamique du carbone dans les sols,True,False
HAL,Barré Pierre,2024,Étudier le carbone organique persistant des sols à l'aide des jachères nues de longue durée,True,False
HAL,Henneron Ludovic,2024,Bioenergetic control of soil carbon dynamics across depth,True,False
HAL,Israel Kpemoua Tchodjowiè,2024,Is the additional organic carbon stored thanks to alternative cropping systems and organic waste products application predominantly stable at a decadal timescale?,True,False
HAL,Chenu Claire,2024,Decadal and centennial scale stable soil organic carbon : insights from long term bare fallows,True,False
HAL,Chenu Claire,2024,Increasing soil organic C storage and persistence in soils: levers associated with microbial and physical controls,True,False
HAL,Kpemoua Tchodjowiè P.I.,2024,Drivers of the amount of organic carbon protected inside soil aggregates estimated by crushing: A meta-analysis,True,False
HAL,Kpemoua Tchodjowiè P. I.,2024,"Assessment of soil organic carbon (SOC) sensitivity to increasing temperatures, soil moisture, and dry-wet cycles in temperate agricultural soils",True,False
